ID do canal,URL do canal,Título do canal
UCbPY1Efha9VPRBYW2x1M16A,http://www.youtube.com/channel/UCbPY1Efha9VPRBYW2x1M16A,JJ Redick
UCbiNMBd57pgETEFbiDSa4yQ,http://www.youtube.com/channel/UCbiNMBd57pgETEFbiDSa4yQ,Cortes do Ciência Sem Fim [OFICIAL]
UCbz2Rc3WZk_mcUcRID5FNUw,http://www.youtube.com/channel/UCbz2Rc3WZk_mcUcRID5FNUw,Psicometria Online
UCdwo4k1RQHTcq_-WS7Cazqg,http://www.youtube.com/channel/UCdwo4k1RQHTcq_-WS7Cazqg,The Bright Side of Mathematics
UCeiiqmVK07qhY-wvg3IZiZQ,http://www.youtube.com/channel/UCeiiqmVK07qhY-wvg3IZiZQ,David Robinson
UCf_kacKyoRRUP0nM3obzFbg,http://www.youtube.com/channel/UCf_kacKyoRRUP0nM3obzFbg,Universo Programado
UCfiSe_Rl5JOF_nrNw0RrWQw,http://www.youtube.com/channel/UCfiSe_Rl5JOF_nrNw0RrWQw,Prof. Alexandre Levada
UCfjq5UN2QCkoI7MgsnGFTiQ,http://www.youtube.com/channel/UCfjq5UN2QCkoI7MgsnGFTiQ,Rodrigo Pescim
UCg6Vz21ViEsKkQLxuOJgQzQ,http://www.youtube.com/channel/UCg6Vz21ViEsKkQLxuOJgQzQ,Zakk Wylde
UCgCKagVhzGnZcuP9bSMgMCg,http://www.youtube.com/channel/UCgCKagVhzGnZcuP9bSMgMCg,ge
UCgCudMsK-kxYxB2RgiS3bzQ,http://www.youtube.com/channel/UCgCudMsK-kxYxB2RgiS3bzQ,TBS
UCgH85FympMCaAv2PhU1VIIQ,http://www.youtube.com/channel/UCgH85FympMCaAv2PhU1VIIQ,Edson Cataldo
UCgIxQrfuRANSttW8Dd85j9g,http://www.youtube.com/channel/UCgIxQrfuRANSttW8Dd85j9g,Luis Rincón
UCgNg3vwj3xt7QOrcIDaHdFg,http://www.youtube.com/channel/UCgNg3vwj3xt7QOrcIDaHdFg,PolyMatter
UCgzSpJgLS6WZiL1X5dCsnFA,http://www.youtube.com/channel/UCgzSpJgLS6WZiL1X5dCsnFA,Rafael Izbicki
UCiFtk8eY6Nyyi9gjqE5Fnnw,http://www.youtube.com/channel/UCiFtk8eY6Nyyi9gjqE5Fnnw,CodeLab
UCib793mnUOhWymCh2VJKplQ,http://www.youtube.com/channel/UCib793mnUOhWymCh2VJKplQ,Fabio Akita
UCjN8PEcGmXzaS8ALAPA6RpQ,http://www.youtube.com/channel/UCjN8PEcGmXzaS8ALAPA6RpQ,nomegusta
UCjNuLnrnihQkGJ2M-9e1oHA,http://www.youtube.com/channel/UCjNuLnrnihQkGJ2M-9e1oHA,Jose de Jesus Filho
UCjTcTWxUEKkh360UkT-U6HA,http://www.youtube.com/channel/UCjTcTWxUEKkh360UkT-U6HA,TopPassion
UCk8a_ETbXVLOlfmMBKgDlug,http://www.youtube.com/channel/UCk8a_ETbXVLOlfmMBKgDlug,Codifike
UCkIEY6rUSPy4qQjLqBBLUSg,http://www.youtube.com/channel/UCkIEY6rUSPy4qQjLqBBLUSg,Via Infinda
UCkQXyTRPtdbZKcggIozIpyw,http://www.youtube.com/channel/UCkQXyTRPtdbZKcggIozIpyw,Ox educ
UCkZolVWc2fnSqyouPzvpuow,http://www.youtube.com/channel/UCkZolVWc2fnSqyouPzvpuow,Jon Schwabish
UClae1KDba-gEk0a3J-5jMJw,http://www.youtube.com/channel/UClae1KDba-gEk0a3J-5jMJw,Rafael Stern
UCmEKnMzbltaFyiA6H46IDng,http://www.youtube.com/channel/UCmEKnMzbltaFyiA6H46IDng,tatianagfeltrin
UCmFHyfdsyryhf7PYQX2j-Pg,http://www.youtube.com/channel/UCmFHyfdsyryhf7PYQX2j-Pg,Susane Ribeiro
UCnbaTZnyOTVqexFCnh3wmvA,http://www.youtube.com/channel/UCnbaTZnyOTVqexFCnh3wmvA,Edição Retarda
UCoL7IgyKRZ6JBog71LnoGzA,http://www.youtube.com/channel/UCoL7IgyKRZ6JBog71LnoGzA,A Ciência da Estatística
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCpV_X0VrL8-jg3t6wYGS-1g,http://www.youtube.com/channel/UCpV_X0VrL8-jg3t6wYGS-1g,1littlecoder
UCpWLePIWw2B0qUkvPjdRzxw,http://www.youtube.com/channel/UCpWLePIWw2B0qUkvPjdRzxw,Prof. Francisco Rodrigues
UCpuZUX_IyMPXiqlkwrxCbNA,http://www.youtube.com/channel/UCpuZUX_IyMPXiqlkwrxCbNA,Instituto de Matemática Pura e Aplicada
UCqQ_cxcNu1ekqHXDc-MbU_w,http://www.youtube.com/channel/UCqQ_cxcNu1ekqHXDc-MbU_w,Business Science
UCqQo7ewe87aYAe7ub5UqXMw,http://www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,House of Highlights
UCqWo_iZvIALqgmXkzJ8S0Sg,http://www.youtube.com/channel/UCqWo_iZvIALqgmXkzJ8S0Sg,Zurubabel
UCqXpnf9sqhSArZYdDlkQuqQ,http://www.youtube.com/channel/UCqXpnf9sqhSArZYdDlkQuqQ,Fundos da Porta
UCro4v94uhppDM4Yykc6wd3Q,http://www.youtube.com/channel/UCro4v94uhppDM4Yykc6wd3Q,Escola de Dados Preditiva
UCsiCOcr5SZAWlJMfcw9P__w,http://www.youtube.com/channel/UCsiCOcr5SZAWlJMfcw9P__w,NBA Brasil
UCtjb-k1uREGXpG2Ky_vvl-g,http://www.youtube.com/channel/UCtjb-k1uREGXpG2Ky_vvl-g,Diego Nogare
UCuecx9Re-uu9TnTp0brXpOg,http://www.youtube.com/channel/UCuecx9Re-uu9TnTp0brXpOg,André Roncaglia
UCupQLyNchb9-2Z5lmUOIijw,http://www.youtube.com/channel/UCupQLyNchb9-2Z5lmUOIijw,Alfredo Canziani
UCv8JigLQYDbWtDpyFfSmpsA,http://www.youtube.com/channel/UCv8JigLQYDbWtDpyFfSmpsA,Bruno Miranda
UCvdwhh_fDyWccR42-rReZLw,http://www.youtube.com/channel/UCvdwhh_fDyWccR42-rReZLw,CNN Brasil
UCw5-xj3AKqEizC7MvHaIPqA,http://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,ESPN Brasil
UCxPaZqwYIAojfZ-D_60MDuQ,http://www.youtube.com/channel/UCxPaZqwYIAojfZ-D_60MDuQ,Instituto de Física USP
UCxcDCeShqZWIUQuEo2iJSVA,http://www.youtube.com/channel/UCxcDCeShqZWIUQuEo2iJSVA,Mauricio Meirelles
UCy83CGJe7nbeRDaqx2QtoMA,http://www.youtube.com/channel/UCy83CGJe7nbeRDaqx2QtoMA,Amada Foca
UCyla_q47yxMNhO4Z78C51mw,http://www.youtube.com/channel/UCyla_q47yxMNhO4Z78C51mw,Fantástico Mundo Matemático
UCysH2Mipb3k5rd9S2EwFryg,http://www.youtube.com/channel/UCysH2Mipb3k5rd9S2EwFryg,Téo Calvo
UCz1oFxMrgrQ82-276UCOU9w,http://www.youtube.com/channel/UCz1oFxMrgrQ82-276UCOU9w,Atlas Pro
UCz7jkexhSd0vTU1prbNO2HA,http://www.youtube.com/channel/UCz7jkexhSd0vTU1prbNO2HA,Prof. Dr. Leonardo Flach
UCzCrdOO2GLYVnNhZUvG03lg,http://www.youtube.com/channel/UCzCrdOO2GLYVnNhZUvG03lg,Código Quant - Finanças Quantitativas





